appid,name,developer,publisher
12430,SlamIt Pinball Big Score,Technetium Games,Kalypso Media Digital
23400,Imperium Romanum Gold Edition,Haemimont Games,Kalypso Media Digital
23450,Grand Ages: Rome,Haemimont Games,Kalypso Media Digital
23490,Tropico 3,Haemimont Games,Kalypso Media Digital
33520,Tropico Reloaded,"PopTop Software, BreakAway Games, Frog City Software",Kalypso Media Digital
33530,Tropico Reloaded,"PopTop Software, BreakAway Games, Frog City Software",Kalypso Media Digital
33550,Time of Shadows,"SkyFallen Entertainment, 1C Company, 1C-SoftClub",Kalypso Media Digital
33570,Patrician III,Ascaron Entertainment ltd.,Kalypso Media Digital
33620,Crash Time 3,Synetic,Kalypso Media Digital
33660,Ziro,Kokakiki,Kalypso Media Digital
33670,Disciples III - Renaissance Steam Special Edition,"Akella, .dat",Kalypso Media Digital
43500,M.U.D. TV,Realmforge Studios,Kalypso Media Digital
57620,Patrician IV - Steam Special Edition,Gaming Minds Studios,Kalypso Media Digital
57650,DUNGEONS - Steam Special Edition,Realmforge Studios,Kalypso Media Digital
57680,The First Templar - Steam Special Edition,Haemimont Games,Kalypso Media Digital
57690,Tropico 4,Haemimont Games,Kalypso Media Digital
57700,Who's That Flying?!,Mediatonic,Kalypso Media Digital
200550,Dungeons - The Dark Lord,Realmforge Studios,Kalypso Media Digital
200670,Disciples III - Resurrection,"Akella, .dat",Kalypso Media Digital
201490,Airline Tycoon 2,b-Alive,Kalypso Media Digital
205610,Port Royale 3,Gaming Minds,Kalypso Media Digital
207000,Alien Spidy,Enigma SP,Kalypso Media Digital
208520,Omerta - City of Gangsters,Haemimont Games,Kalypso Media Digital
214320,Dollar Dash,Candygun Games,Kalypso Media Digital
215630,Demonicon,Noumena Studios,Kalypso Media Digital
217690,Anna - Extended Edition,Dreampainters,Kalypso Media Digital
225360,DARK,Realmforge Studios,Kalypso Media Digital
227020,Rise of Venice,,Kalypso Media Digital
245620,Tropico 5,Haemimont Games,Kalypso Media Digital
258220,Blood Knights,Deck 13,Kalypso Media Digital
258240,Tank Operations: European Campaign,Linked Dimensions,Kalypso Media Digital
262280,Dungeons 2,Realmforge Studios,Kalypso Media Digital
310470,Grand Ages: Medieval,Gaming Minds Studios,Kalypso Media Digital
310490,Crookz - The Big Heist,Skilltree Studios,Kalypso Media Digital
352550,Urban Empire,Reborn Games,Kalypso Media Digital
373930,Sudden Strike 4,Kite Games,Kalypso Media Digital
404590,Vikings - Wolves of Midgard,Games Farm,Kalypso Media Digital
612300,Sudden Strike Gold,Fireglow,Kalypso Media Digital
612520,Sudden Strike 2 Gold,Fireglow,Kalypso Media Digital
612540,Sudden Strike 3,Fireglow,Kalypso Media Digital
256030,Shadows: Heretic Kingdoms,Games Farm,Kalypso Media Digital Ltd
397850,Sonder. Episode ONE,KAMAi MEDIA,KAMAi MEDIA
546410,Grab the Bottle,Kamina Dimension,Kamina Dimension
649620,VR Battleship YAMATO,Kanda Technologies,Kanda Technologies Inc.
579330,The Sorceress,Karabas_Studio,Karabas_Studio
355560,Trigger Runners,EfrenStudios,Karaokulta Games
296590,Draconian Wars,Kardfy Studios,Kardfy Studios
380560,Spandex Force: Champion Rising,KarjaSoft,KarjaSoft
560970,Fireworks Desert Blast,Karman Interactive,Karman Interactive
227060,Hegemony Rome: The Rise of Caesar,Longbow Games,Kasedo Games
273960,Mechs & Mercs: Black Talons,Camel 101,Kasedo Games
284580,ZAMB! Biomutant Extermination,Nano Games,Kasedo Games
294370,Crowntakers,Bulwark Studios,Kasedo Games
357030,Excubitor,Tesseract Interactive,Kasedo Games
416790,The Metronomicon,Puuba,Kasedo Games
423580,Project Highrise,SomaSim,Kasedo Games
548370,Rezrog,Soaphog,Kasedo Games
461230,Dashy Square,"Kastriot Sulejmani, Logan Gerrol",KasSanity
539640,Racecar.io,"Kastriot Sulejmani, Brayden Myers",KasSanity
420930,CHKN,Katapult,Katapult
495580,Divided We Fall,KAVA Game Studio,KAVA Game Studio
586240,Soul Searching,Kayabros,Kayabros
378270,Putrefaction,Kazakov Oleg,Kazakov Oleg
387930,The Tape,Kazakov Oleg,Kazakov Oleg
453960,Envy the Dead,Kazakov Oleg,Kazakov Oleg
567060,Putrefaction 2: Void Walker,Kazakov Oleg,Kazakov Oleg
382350,Devil's Bluff,KBJGames,KBJGames
326460,ShellShock Live,kChamp Games,kChamp Games
412620,CropDuster Supreme,kChamp Games,kChamp Games
500100,Cubic complex,Kedexa,Kedexa
537280,Existence speed,Kedexa,Kedexa
602830,Hexaball,kedexa,kedexa
219070,Miner Wars Arena,Keen Software House,Keen Software House
223430,Miner Wars 2081,Keen Software House,Keen Software House
244850,Space Engineers,Keen Software House,Keen Software House
333950,Medieval Engineers,Keen Software House,Keen Software House
565200,Gem Monster,keggame,keggame
463390,One Thousand Lies,Keinart Lobre,Keinart Lobre
365880,Mirrored - Chapter 1,"Kelkafa Studios, Cardboard Sword Limited, Jet Stone Studios",Kelkafa Studios
323450,Alphadia Genesis,EXE-CREATE,KEMCO
406110,Asdivine Hearts,Exe Create Inc.,KEMCO
504660,Tears Revolude,WorldWideSoftware,KEMCO
544590,Death Dojo,Ken Watanabe,Ken Watanabe
363550,Kenney Game Assets,Kenney,Kenney
390610,Circa Infinity,Kenny Sun,Kenny Sun
527740,YANKAI'S TRIANGLE,Kenny Sun,Kenny Sun
654910,YANKAI'S PEAK.,Kenny Sun,Kenny Sun
579080,Snow Games VR,Kenziko Ltd.,Kenziko Ltd.
233700,Sword of the Stars: The Pit,Kerberos Productions Inc.,Kerberos Productions Inc.
267730,Ground Pounders,Kerberos Productions Inc.,Kerberos Productions Inc.
333210,Kaiju-A-GoGo,Kerberos Productions Inc.,Kerberos Productions Inc.
410430,Morphine,Kerim Kumbasar,Kerim Kumbasar
610380,Ratty Catty,Kerim Kumbasar,Kerim Kumbasar
428080,Racket: Nx,"One Hamsa, Waves Audio",Keshet International Gaming
603350,Don't cut your hand,Kether Studio,Kether Studio
554530,CRACKHEAD,Kev Jackson,Kev Jackson
667920,Survival Tycoon,Kev Jackson,Kev Jackson
434410,Moonlight,Kevin Jess Horton,Kevin Jess Horton
523080,Footbrawl Playground,Kevin Suckert,Kevin suckert
509800,The Last Weekend,KEXBOY,KEXBOY
279540,Pretentious Game,Keybol,Keybol
495230,Hypnorain,keyreal,keyreal
322580,Dungeon Lurk II - Leona,Keys of Nine Entertainment,Keys of Nine Entertainment
501950,Rogue Islands,"Big Fat Alien, Blue Sock Studios",Keystone Games
614030,Rhythm Rush!,KFriske Studios,KFriske Studios
428900,"Linea, the Game",KHB-Soft,KHB-Soft
513510,Intralism,KHB-Soft,KHB-Soft
367990,3D Paraglider,khos85,khos85
400880,Ultimate Rock Crawler,khos85,khos85
491720,Nary,Khud0,Khud0
443250,Legacy of the Elder Star,Kickbomb Entertainment LLC,Kickbomb Entertainment LLC
501760,Francisca,Kiddy,Kiddy
654990,Dude Simulator,Kiddy,Kiddy
377660,Blockwick 2,Kieffer Bros.,Kieffer Bros.
